P8010116.482933
GADANKI 01/01/1980 16:47:29 01/01/1980 16:48:29 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 19.6575	130.6958	  9.9594	118.0458	  1.8088
 19.6604	131.3583	  9.9734	119.2750	  1.8090
 19.6526	130.7875	  9.9593	118.2208	  1.8084
 19.6515	131.4708	  9.9535	118.7625	  1.8084
 19.6579	131.3917	  9.9664	118.0208	  1.8083
 19.6561	131.8292	  9.9681	118.5125	  1.8086
 19.6728	131.0375	  9.9358	118.2542	  1.8083
 19.6487	131.0542	  9.9605	118.3750	  1.8091
 19.6662	131.2000	  9.9391	118.5208	  1.8085
 19.6539	131.4000	  9.9631	118.4292	  1.8086
 19.6941	131.0667	  9.9517	118.3708	  1.8092
 19.6742	131.3667	  9.9669	119.1417	  1.8093
 19.6400	130.9500	  9.9706	118.5417	  1.8082
 19.6540	130.7667	  9.9571	118.8125	  1.8084
 19.6364	131.3667	  9.9661	118.2958	  1.8083
 19.6512	131.1833	  9.9364	118.7875	  1.8081
 19.6501	131.4792	  9.9692	118.8500	  1.8085
 19.6497	131.0625	  9.9743	118.1333	  1.8084
 19.6610	131.2375	  9.9484	118.6833	  1.8090
 19.6614	130.9458	  9.9500	118.4583	  1.8088
 19.6612	131.3875	  9.9492	118.7917	  1.8087
 19.6581	131.4333	  9.9651	118.5833	  1.8083
 19.6643	131.0333	  9.9409	118.2917	  1.8086
 19.6727	131.6333	  9.9487	118.7083	  1.8088
 19.6670	131.3708	  9.9725	119.0292	  1.8087
 19.6549	131.0042	  9.9491	118.5708	  1.8084
 19.6517	131.2500	  9.9487	118.1208	  1.8085
 19.6698	131.4625	  9.9640	118.4417	  1.8088
 19.6569	130.8917	  9.9641	118.8042	  1.8090
 19.6544	130.9792	  9.9690	118.1167	  1.8084
 19.6477	131.6417	  9.9558	117.8417	  1.8087
 19.6626	130.7375	  9.9622	117.9958	  1.8085
 19.6542	130.8583	  9.9600	118.8667	  1.8084
 19.6554	130.9708	  9.9445	118.3208	  1.8088
 19.6528	131.7417	  9.9523	118.3167	  1.8086
 19.6511	131.0917	  9.9709	118.5958	  1.8078
 19.6675	130.4250	  9.9514	118.3167	  1.8084
 19.6657	131.2250	  9.9705	118.5458	  1.8086
 19.6703	131.1958	  9.9566	118.2167	  1.8087
 19.6568	131.3917	  9.9563	118.2083	  1.8084
 19.6515	131.1833	  9.9638	118.7542	  1.8081
 19.6640	131.2125	  9.9823	118.6458	  1.8088
 19.6676	131.5500	  9.9608	118.4625	  1.8086
 19.6443	131.4667	  9.9568	118.9375	  1.8081
 19.6673	131.0417	  9.9669	118.9958	  1.8086
 19.6737	130.8708	  9.9610	117.9667	  1.8084
 19.6405	130.6875	  9.9544	118.5333	  1.8089
 19.6699	131.0833	  9.9657	118.8792	  1.8087
 19.6570	131.1833	  9.9438	118.3417	  1.8088
 19.6561	131.2667	  9.9652	118.3417	  1.8089
 19.6647	130.6708	  9.9596	118.4958	  1.8092
 19.6402	131.3958	  9.9459	118.2458	  1.8088
 19.6636	131.4125	  9.9509	118.2333	  1.8087
 19.6448	131.5292	  9.9536	118.5417	  1.8083
 19.6508	131.2708	  9.9726	117.7292	  1.8084
 19.6629	131.0375	  9.9476	118.5208	  1.8086
 19.6959	131.7458	  9.9558	118.0583	  1.8079
 19.6647	130.6500	  9.9545	118.3292	  1.8088
 19.6358	131.6000	  9.9505	118.4333	  1.8084
 19.6532	131.2708	  9.9591	118.4333	  1.8085
 19.6774	131.2708	  9.9538	118.2875	  1.8082
 19.6821	131.4917	  9.9786	118.6042	  1.8087
 19.6428	131.0583	  9.9660	118.6167	  1.8082
 19.6699	131.4583	  9.9494	117.8583	  1.8085
 19.6496	131.6000	  9.9719	118.0792	  1.8085
 19.6476	131.3167	  9.9559	117.9417	  1.8089
 19.6580	130.7292	  9.9540	118.4917	  1.8087
 19.6706	131.3042	  9.9553	118.3458	  1.8080
 19.6575	131.2917	  9.9614	118.7375	  1.8088
 19.6393	131.2625	  9.9530	118.7208	  1.8089
 19.6596	131.5167	  9.9532	118.5792	  1.8089
 19.6557	130.8833	  9.9588	118.1083	  1.8094
 19.6599	131.5708	  9.9749	119.0000	  1.8090
 19.6669	131.3583	  9.9452	117.5667	  1.8087
 19.6538	131.7125	  9.9436	118.5125	  1.8083
 19.6588	130.9458	  9.9586	118.1583	  1.8082
 19.6519	130.6208	  9.9495	118.2042	  1.8084
 19.6502	131.3875	  9.9515	117.8958	  1.8087
 19.6632	131.0167	  9.9518	118.4875	  1.8092
 19.6662	130.7042	  9.9656	118.2083	  1.8081
 19.6647	131.1167	  9.9601	118.4542	  1.8092
 19.6660	131.7417	  9.9534	118.4125	  1.8091
 19.6748	131.2500	  9.9551	118.4750	  1.8086
 19.6698	130.5833	  9.9615	118.1875	  1.8084
 19.6581	130.9500	  9.9506	118.8750	  1.8087
 19.6429	131.4583	  9.9523	118.3917	  1.8084
 19.6740	130.7500	  9.9534	118.9000	  1.8089
 19.6586	131.6667	  9.9691	118.2042	  1.8083
 19.6582	130.8250	  9.9671	118.8292	  1.8086
 19.6626	131.6917	  9.9584	118.7167	  1.8085
 19.6643	131.3375	  9.9353	118.4708	  1.8085
 19.6677	131.2000	  9.9542	119.0042	  1.8086
 19.6400	130.9250	  9.9469	118.4958	  1.8089
 19.6451	131.0042	  9.9475	118.3792	  1.8080
 19.6546	131.5042	  9.9647	118.9875	  1.8088
 19.6645	131.1875	  9.9695	118.9292	  1.8085
 19.6595	131.2000	  9.9690	117.8833	  1.8086
 19.6547	131.5042	  9.9534	118.3542	  1.8086
 19.6607	131.2708	  9.9527	118.8292	  1.8085
 19.6515	130.6917	  9.9605	118.4917	  1.8087
 19.6658	131.4750	  9.9539	118.2000	  1.8084
 19.6584	131.3583	  9.9720	118.7042	  1.8084
 19.6540	131.5917	  9.9551	119.0042	  1.8083
 19.6686	131.0292	  9.9625	118.4250	  1.8084
 19.6568	131.4458	  9.9766	118.8042	  1.8087
 19.6710	131.2625	  9.9660	118.7958	  1.8091
 19.6687	131.4292	  9.9736	118.7417	  1.8083
 19.6494	131.0208	  9.9713	118.3042	  1.8083
 19.6670	130.8750	  9.9424	118.4708	  1.8088
 19.6547	131.5250	  9.9432	118.7333	  1.8085
 19.6656	131.0667	  9.9408	118.4167	  1.8084
 19.6650	131.4292	  9.9442	118.4500	  1.8085
 19.6636	131.1750	  9.9518	118.1667	  1.8088
 19.6600	131.0208	  9.9621	118.8625	  1.8085
 19.6805	131.4708	  9.9578	118.1208	  1.8085
 19.6614	131.4250	  9.9619	118.1542	  1.8088
 19.6562	131.4292	  9.9493	118.5750	  1.8090
 19.6518	132.0208	  9.9538	118.0833	  1.8091
 19.6712	130.9792	  9.9585	118.3875	  1.8090
 19.6579	131.7667	  9.9724	118.7083	  1.8080
 19.6587	131.3500	  9.9630	118.9750	  1.8083
 19.6597	131.1375	  9.9642	118.3917	  1.8092
 19.6568	131.7708	  9.9532	118.7792	  1.8086
 19.6802	130.7667	  9.9474	118.4125	  1.8086
 19.6512	131.3542	  9.9617	118.7667	  1.8086
 19.6613	131.7583	  9.9609	118.6250	  1.8089
 19.6744	131.6375	  9.9608	118.2042	  1.8087
 19.6508	131.3917	  9.9525	118.8250	  1.8085
 19.6504	130.8458	  9.9585	118.2750	  1.8090
 19.6535	131.1917	  9.9462	118.2792	  1.8085
 19.6677	131.3833	  9.9562	118.8042	  1.8083
 19.6575	131.2750	  9.9579	118.1500	  1.8085
 19.6608	131.7000	  9.9650	118.5667	  1.8086
 19.6627	131.1917	  9.9458	118.7417	  1.8086
 19.6692	131.3000	  9.9470	118.9250	  1.8086
 19.6480	131.5333	  9.9509	118.5167	  1.8091
 19.6518	131.0417	  9.9322	118.2917	  1.8081
 19.6428	131.3292	  9.9471	118.8292	  1.8085
 19.6567	131.7667	  9.9413	117.8417	  1.8092
 19.6630	131.2708	  9.9535	118.7625	  1.8084
 19.6650	131.4542	  9.9672	118.4167	  1.8090
 19.6458	130.9292	  9.9547	118.7375	  1.8087
 19.6745	131.2500	  9.9698	118.1667	  1.8087
 19.6567	131.8333	  9.9684	118.4292	  1.8082
 19.6735	131.9042	  9.9581	118.7292	  1.8084
